Id,Investors,Amount,Valuation,Comment,URL,Confidential,Amount confidential,Date of the funding round,Type,Phase,Canton,Company,Gender CEO,Article Summary
S4126,Elastic,,,,https://www.elastic.co/de/about/press/elastic-and-optimyze-join-forces-to-deliver-continuous-profiling-of-infrastructure-applications-and-services,0.0,0.0,2021-10-14,EXIT,,ZH,optimyze.cloud AG,Male,
S4125,n.a.,,,,https://www.startupticker.ch/en/news/therappi-completes-first-closing-of-pre-seed-financing,0.0,1.0,2025-03-21,VC,Early Stage,Genève,TheraPPI Bioscience SA,Male,"TheraPPI Bioscience SAS (“TheraPPI”), a preclinical biotechnology company focused on developing small molecules that modify protein interactions, announced today the first closing of its Pre-Seed financing. The Geneva-based company aims to advance its lead oncology program targeting a novel protein interaction. All investors have substantial experience in the biotech sector. TheraPPI will use the proceeds today announced to advance the development of its lead program targeting ERK/MyD88, a novel protein interaction in the Ras-MAPK pathway to tackle cancer drug resistance and to offer more effective and safer therapies to patients with advanced cancers. TheraPPI also announced the inception of TheraPPI Bioscience SA (Geneva, Switzerland) and the nomination of a Board of Directors of this new company. Patricia Delaite, MD, a clinical oncologist and executive in biotech companies, joins the company’s Board as Chairwoman. John Tchelingerian, PhD, a serial entrepreneur and private investor in the biotech sector, and Barthélemy Helg, LL. M. & MBA, an executive in the biotech and food tech sectors, join the company’s Board as independent Directors. Luc Otten, MD, PhD, founder CEO, and Toufic Renno, PhD, founder CSO of TheraPPI, are also Board Directors. “TheraPPI is developing a first-in-class drug for bringing efficacious therapy to patients with cancer who can’t any longer benefit from modern targeted therapies or immunotherapies. TheraPPI lead program tackles a real unmet medical need by fighting cancer drug resistance, a major cause of death. I am deeply honoured to support TheraPPI on this exciting journey,” said Patricia Delaite. “Thanks to the support of our new investors, our Board of Directors, and this open Pre-Seed financing round, we are moving forward by expediting TheraPPI’s lead program and preparing additional developments. The combination of long experience in both academia and industry from the team with strong corporate governance provides a solid foundation for future TheraPPI successes,” added Luc Otten. TheraPPI is a preclinical-stage biotech company developing protein interaction-modifying drugs to provide patients with better treatments in oncology, rare diseases, and inflammatory conditions. TheraPPI consists of TheraPPI Bioscience SAS based in Lyon, France and TheraPPI Bioscience SA based in Geneva, Switzerland."
S4124,Investorengruppe aus erfahrenen Family Offices und namhaften Unternehmerinnen und Unternehmern,7.7,,,https://www.startupticker.ch/en/news/8-millionen-fuer-biotech-startup-biocopy,0.0,0.0,2025-03-21,VC,,Basel-Stadt,BioCopy AG,Male,"The Swiss-German Startup Biocopy based in Switzerland Innovation Park in Basel has collected 8 million euros in fresh capital.This is intended to accelerate and industrialize the development of next generation of next generation of next generation against lung, bladder and ovarian carcinomas.An investor group of experienced family offices and well -known entrepreneurs took part in the round.Biocopy intends to produce more effective cancer medication in a very short time and at significantly lower costs.The focus is on the development of next generation biotherapeutic drugs against lung, bladder and ovarian carcinomas.«With our patented solution in the precision screening of cancer stargets, i.e. specific target structures on cancer cells for medication, and our know-how in AI-based antibody optimization, we can produce highly complex medicines faster and in considerably larger quantities.And so that there is a valuable time in the fight against cancer, »explains Biocopy CEO Matthias Wiedenfels With the funds from the financing round, the establishment of biocopies automated ultra-high-throughput laboratory is to be started.With the help of its own development platform, the company wants to strongly accelerate the production of highly effective and safe drug candidates against cancer and increase the prospects of success for the clinical phase.Specifically, instead of 10 - 100 ingredients in the iterative semi -manual process, a total of 25,000 variants in the automated process should be tested in parallel.New approaches in the development of active ingredients ""The development of such active ingredients lasts many years or even decades in the conventional process,"" adds Jörg Birkenfeld, Chief Science Officer from BiOCopy.""In contrast to previous workflows of the pharmaceutical industry, we can ensure a much greater throughput with our approaches at Biocopy. With the help of the previous funds and upcoming investments, we will further expand this competitive advantage and drive the global struggle against cancer"".The company specializes in the Phla target class against cancer.The peculiarity: The Phla target class addresses cancer, which is hidden inside a cell and therefore cannot be discovered by the immune system.Biocopy plans to optimize multi -specific antibodies for industrial manufacturability within the next 2 years and thus significantly shorten the development cycles of medication.The company sees itself as a pioneer in the AI-based development of biological drug candidates.With a fully automated platform, suitable active ingredients for cancer therapy are identified and improved.The resulting highly quantitative and qualitative data records are analyzed and evaluated using artificial intelligence.This innovative approach is intended to significantly shorten the development cycles of such medication and thus significantly reduce the costs.(Press release / fr)"
S4123,Angel investors and TiVentures,1.1,,,https://www.startupticker.ch/en/news/gaia-turbine-raises-chf-1-1-million,0.0,0.0,2025-03-21,VC,Seed,TI,Gaia Turbine SA,Male,"Angel investors and TiVentures have invested an additional CHF 1.1 million in Gaia Turbine, a Lugano-based startup developing high-performance hydroelectric turbines for micro and mini power plants. This funding will support the next growth phase, focusing on pilot projects and commercial partnerships. Gaia Turbine was established in 2020 with the goal of developing a plug-and-play hydroelectric micro and mini-turbine that achieves more than 90% efficiency across a wide range of working conditions. Their micro and mini-turbine is suitable for applications in aqueducts, minimum vital flows, and small hydroelectric power plants. The Università Politecnico di Milano validated the turbine's high performance in 2021, confirming its superiority over conventional models. In December 2024, the company successfully launched its first pilot project at AMB (Azienda Multiservizi Bellinzona). The plug-and-play hydroelectric turbine was connected to the power grid, effectively demonstrating its performance under real-world, variable operating conditions. The startup has recently obtained CHF 1.1 million in a new investment round supported by angel investors and TiVentures , marking a significant step forward in the company’s growth strategy. The capital will enable Gaia Turbine to accelerate its development activities, with a clear focus on scaling its market presence and advancing toward full industrialization. The company is currently evaluating potential sites for its next pilot installation, which will further validate the turbine’s flexibility and efficiency in new application scenarios, such as water supply networks. Furthermore, the Gaia Turbine team is strengthening ties with commercial and industrial partners, both in Switzerland and internationally, to foster strategic collaborations and lay the foundations for large-scale deployment of its technology. “This pilot project is a pivotal moment for Gaia Turbine,” said FT, co-founder and CTO of Gaia Turbine SA. “We are both demonstrating the effectiveness of our technology in an operational environment and we are preparing to take it to a larger scale thanks to the confidence of our investors and industry partners.” (Press release/RAN)"
S4122,Business Angels,1.5,,,https://www.startupticker.ch/en/news/frisches-geld-fuer-agentic-ai-plattform-von-rwai,0.0,0.0,2025-03-14,VC,Early Stage,Zürich,RWAI Schweiz AG,Male,"The Winterthur Startup RWAI has collected CHF 1.5 million of Business Angels in a finance round.The Zhaw's spin-off of the Center for Artificial Intelligence (CAI) wants to advance the expansion of its platform as well as growth and enlargement of the customer base with the fresh capital.The startup RWAI Switzerland has been officially founded since February 2024.The two founders of Lukas Tuggener and Simon Spalinger are behind the young company, which specializes in artificial intelligence, based in Winterthur.The spin-off of the Center for Artificial Intelligence (CAI) The ZHAW focuses on the use of innovative AI technologies in knowledge management and automation.RWAI - abbreviated for Real World Artificial Intelligence - relies on Agentic AI.This new generation of artificial intelligence can proactively support and automate processes.Through practical optimization and the use of adaptive technologies, RWAI companies helps to make their support and compliance processes more efficient and adapt to new regulatory requirements.The main product of RWAI is the “ticket pilot”: This uses Agentic AI to automate service, support and maintenance processes.The platform classifies tickets intelligently, recognizes similar incidents and generates solutions based on historical data and knowledge databases.Due to the reduction of manual expenses and faster response times, “Ticketpilot” increases the productivity of support teams and improves customer service sustainably.Companies benefit from a scalable, flexible solution that can be individually adjusted.Now the Winterthurers have completed growth financing of CHF 1.5 million.Business Angels took part in the round.With the fresh means, the startup wants to further develop the “Ticketpilot” platform, open up new markets and expand the team.RWAI co-founder and CEO Simon Spalinger: «We are pleased about the trust of our investors and the strong impulse we receive.We have already demonstrated the product market fit for ticket pilot in various customer projects.With the additional support, we can advance the expansion of our platform as well as the growth of our company and the customer base even faster. »(Press release / fr)"
S3335,"Belmondo, VP Venture Partners, HEMEX, OCCIDENT, Zürcher Kantonalbank, EFI",14.0,32.6,,https://www.startupticker.ch/en/news/chf-14-million-to-fund-hemotune-s-clinical-trials,0.0,0.0,2024-03-25,VC,Later Stage,ZH,hemotune AG,Male,"Following the successful completion of preclinical development for their HemoSystem blood purification platform, hemotune closed a CHF 14 million Series B2 round. The funds will be used to move into clinical trials. The HemoSystem, a breakthrough blood purification platform based on nanoengineered magnetic beads, stands out for its ability to effectively remove large biomolecules directly from patients' bloodstreams, offering a unique approach to implement precision medicine multi-target treatments which would not be possible through drugs. Hemotune initially focussed on Sepsis. Given the serious impact of sepsis, which leads to around 11 million deaths annually and is a major economic burden, the potential benefits of this innovative technology are significant for patients and healthcare systems alike. In addition to treating sepsis-related immune suppression, hemotune also plans to explore other potential uses for the platform in the future. The investment was led by Belmondo with continued support of existing investors including VP Venture Partners , HEMEX , OCCIDENT , Zürcher Kantonalbank , and joined by EFI . Lukas Langenegger, CEO and co-founder of hemotune AG, states: ""As we navigate through a challenging fundraising climate, the success of our Series B2 funding round underscores not only the potential of our innovative blood purification platform but also the confidence our backers have in our team and vision to revolutionize medical treatment."" Dr. Darius Madjdpour, founder at Belmondo comments: ""The team of hemotune has managed to develop one of the most promising platform technologies I have seen in medicine. The possibilities to tackle various diseases and enabling therapies through HemoSystem has convinced us to take the lead in this funding round."" Cédric Barra, Senior Investment Manager at OCCIDENT adds: “This Series B2 funding will now pave the way for clinical trials. The company has done an excellent job over the last few years to get to this point and we hope that hemotune can make the therapy available to patients soon.” Pascal Winnen, CEO of HEMEX, asserts: ""With our established expertise as a CRO in managing global infectious disease clinical trials, we are deeply committed to hemotune's pioneering strategy for combating septic shock. We recognize the potential for broader applications of their technology to selectively filter harmful agents from the bloodstream."" (Press release / SK)"
S3336,Angelini Ventures,6.3,136.02,,https://www.startupticker.ch/en/news/nouscom-secures-additional-funding-from-angelini-ventures,0.0,0.0,2024-03-26,VC,Later Stage,BS,Nouscom AG,Male,"Angelini Ventures has invested €7 million in Nouscom, joining a syndicate of top-tier international healthcare investors who jointly brought the company’s series C extension round to €75.8 ($82 million). The proceeds will continue advancing and expanding Nouscom’s product pipeline. Based in Basel, Nouscom is a clinical stage immune-oncology company developing off-the-shelf and personalized cancer vaccines based on its proprietary viral vector platform, which has the capacity to encode for large payloads of neoantigens or other immunomodulators. The additional funding from the series C extension round will help fuel the further development and expansion of its drug candidates to achieve multiple clinical value catalysts. This includes the readout from its ongoing randomized Phase 2 clinical trial for NOUS-209, an off-the-shelf cancer immunotherapy for the treatment of MSI solid tumors in combination with pembrolizumab, the completion and progression of Phase 1b study of NOUS-209 in Lynch Syndrome (LS) carriers investigating the potential to intercept, prevent or delay cancer in high-risk individuals. The funds will also accelerate the Phase 1b study completion for NOUS-PEV in combination with a checkpoint inhibitor in patients with advanced melanoma and entry into randomized Phase 2 trials in 2024 in indications with high unmet medical needs. Angelini Ventures , the corporate venture firm of Angelini Industries focused on investing in companies developing innovative solutions and ideas in BioTech and Digital Health, contributed €7 million, thereby joining a syndicate of top-tier international healthcare investors, including new investors: Andera Partners, Bpifrance (through its InnoBio 2 fund), M Ventures, Revelation Partners, Indaco Venture Partners, Panakès Partners, XGen Ventures; existing investors: 5AM Ventures, EQT Life Sciences, Versant Ventures; and other undisclosed investors. The investment brings the total amount raised by Nouscom in its oversubscribed Series C round – first announced in November 2023 – to €75.8 million. (Press release/RAN)"
S3347,"Ysios Capital, Kurma Partners, Pureos Bioventures, Swisscanto, Vesalius Biocapital, Adjuvant Capital, Verve Ventures, Schroders Capital, GF Group, Fresenius Medical Care Ventures, Redalpine",20.0,107.1,,https://www.startupticker.ch/en/news/memo-therapeutics-raises-additional-chf20-million,0.0,0.0,2024-05-07,VC,Later Stage,ZH,CancerNewCo@Memo Therapeutics AG,Male,"Memo Therapeutics or “MTx” has successfully raised CHF 20 million as part of an extension of its Series C financing, bringing the total amount raised in the funding round to CHF 45 million. The new funding will be used to bolster the clinical advancement of MTx’s lead asset, AntiBKV for kidney transplant patients with a BK virus infection. Schlieren-based Memo Therapeutics is a late-stage biotech company developing therapeutic antibodies for patients with viral infections and cancer. MTx’s lead program, AntiBKV, is a highly effective and safe neutralizing antibody to treat BK virus infection in kidney transplant recipients. This infection can lead to nephropathy, loss of kidney function, as well as organ failure and rejection. The disease represents a potential market in excess of $1 billion. The new funding will be used to expand the Phase II trial of AntiBKV with a dose evaluation extension to be the largest BK viremia therapeutic study ever conducted in kidney transplant recipients. Initial data from the Phase II trial is expected in the first half of 2025. The funding will further support the development of MTx’s pipeline by leveraging its B-cell screening platform to select best-in-class humanized antibodies in other viral infections and oncology. New investors Ysios Capital and Kurma Partners participated in the extension round, joining existing Series C round investors including Pureos Bioventures, Swisscanto, Vesalius Biocapital, Adjuvant Capital, Verve Ventures, Schroders Capital, GF Group, Fresenius Medical Care Ventures and Redalpine. Thomas Harth, Principal at Ysios Capital and Hadrien Bouchez, Partner at Kurma Partners will join the Memo Therapeutics Board of Directors. Erik van den Berg, CEO of Memo Therapeutics, commented: “This financing provides further external endorsement of the potential of our highly potent anti-BK virus mAb and our clinical strategy to bring it to patients as quickly as possible. There are more than 100,000 kidney transplants worldwide each year and 20,000 of these are at risk from developing BK virus associated nephropathy. With no disease modifying therapies available, there is an urgent need for a treatment. With FDA fast track status already obtained for the product, we look forward to rapidly progressing the development of AntiBKV.” Thomas Harth, Principal at Ysios Capital stated: “We believe Memo Therapeutics has developed a very powerful antibody that can address the growing concern of BKV infections in kidney transplant recipients. By being able to preserve the kidney and ensure graft outcome, this antibody could offer a tremendous benefit to patients. Deriving antibodies in screening of the B-cell repertoire offers a route to best-in-class antibody medicines for multiple diseases. We believe MTx has one of the best engines to do so within the industry.” Hadrien Bouchez, Partner at Kurma Partners added: “MTx has an exceptional leadership team with a proven track record of success. We are very excited to support the development of AntiBKV, an agent which has a unique efficacy and safety profile.” (Press release / SK)"
S3349,"GSK, new and existing investors",12.3,112.74,,https://www.startupticker.ch/en/news/gsk-joins-bioversys-investors-in-series-c-extension-round,0.0,0.0,2024-05-07,VC,Later Stage,BS,BioVersys AG,Male,"In line with their expanded collaboration to advance the development of alpibectir for the treatment of tuberculosis, GSK has taken an equity stake in BioVersys, joining new and existing investors in the series C extension round. The company raised CHF 12.3 million, bringing the total proceeds in this round to CHF 44.9 million. The funds will fuel the clinical development of BioVersys’ portfolio. BioVersys is a multi-asset, clinical stage biopharmaceutical company focusing on research and development of novel antibacterial products for serious life-threatening infections caused by multi-drug resistant (""MDR"") bacteria. Its lead candidate BV100 is a potential breakthrough hospital antibiotic with a new mode of action targeting Acinetobacter baumannii, the most drug-resistant bacterial pathogen. Alongside BV100 (Phase 2), BioVersys is developing alpibectir (BVL-GSK098) a small molecule acting through a novel mode of action for the treatment of tuberculosis (TB) in collaboration with global pharma company GlaxoSmithKline (GSK) and a consortium comprising Pasteur Institute Lille and the University of Lille. Alpibectir is currently being evaluated in combination with ethionamide (Eto) in a Phase 2a proof-of-concept study in pulmonary TB patients in South Africa. GSK and BioVersys have announced the extension of their collaboration beyond the current Phase 2a to develop alpibectir in both TB pulmonary and TB meningitis programs in order to make it available to patients as soon as possible. As part of the expanded collaboration, GSK will take an equity stake in BioVersys' latest investment round. Adding to further investments from existing and new investors, this extends the Series C financing by CHF 12.3 million, resulting in total proceeds of CHF 44.9 million for the Series C round to date. The additional proceeds will enable the further clinical development of BioVersys’ portfolio which also includes BV100. Dr. Marc Gitzinger, Chief Executive Officer and founder of BioVersys: ""We are very pleased to announce both the expansion of our highly successful strategic collaboration with GSK and our partner’s participation in our latest financing round. Together with GSK, we successfully advanced the development of alpibectir for TB, having recently completed the TRIC-TB public-private partnership program with the delivery of a Phase 2-ready anti-TB molecule. We look forward to further expanding this collaboration with GSK beyond our ongoing Phase 2a evaluation of alpibectir, as we seek to deliver a new treatment regimen for TB, a disease that poses a serious threat to public health worldwide and which is severely underserved by current therapies."" (Press release/RAN)"
S3350,"Founderful, another.vc, Tiny.Vc, angel investors",2.26,2.3,,https://www.startupticker.ch/en/news/eth-spinoff-mimic-robotics-banks-2-5m-to-develop-the-first-ai-driven-collaborative-robot,0.0,0.0,2024-05-08,VC,Seed,Zürich,mimic robotics AG,Male,"Based in Zurich, mimic is developing breakthrough collaborative robots with humanoid hands powered by generative AI to ease severe global labour shortages across industries. Founderful, together with German and UK-based VCs as well as specialized angel investors, participated in the startup’s funding round. Alongside lead investor Founderful , mimic robotics seed round attracted further venture capital firms such as another.vc from Germany and Tiny.vc from the UK, and an all-star line-up of specialized angel investors. The funds will accelerate the development of its AI-based robotic arm and humanoid hand solution as the team gears towards the official product launch this year. Founded in 2024 as a spinoff from ETH Zurich, mimic’s researchers Elvis Nava, Stefan Weirich, Stephan-Daniel Gravert and Benedek Forrai are convinced that the latest developments in large-scale generative AI models would upend a multitude of industries, beyond just language and image generation. They developed a foundation model for robotic manipulation, enabling robots to reason and understand the physical world. The downstream effect is that robots can execute tasks with minimal demonstrations and without requiring expensive, complicated programming by engineers for each new task. Currently, the team is developing a dexterous, human-like robotic hands that fit seamlessly into existing manual labor workflows, driven by state-of-the-art AI models trained directly from human demonstrations. The robot will be able to understand and imitate any behavior, simply by watching a human perform it. This should help address the labor shortages in any industry employing workers in repetitive but hard-to-automate tasks involving complex motor skills. “Most use cases are stationary and do not require a full humanoid robot with legs. That’s why we focus data-collection and hardware ingenuity on a universal robotic hand that is compatible with off-the-shelf industrial robotic arms for positioning.” says co-founder Stephan-Daniel Gravert. Unlike conventional solutions where robots are only able to complete the narrowly specific task they are designed for, mimic is developing robots with a unified, general purpose approach to achieve a variety of tasks with a single robot design. “We designed our robot to mimic a human hand so it fits in our world, instead of re-designing the world to fit with our robot,” says co-founder Elvis Nava. With the global market for Humanoid AI and robotics anticipated to reach $38 billion by 2035 , mimic plans to collaborate closely with industry clients to develop solutions for the real world while staying laser-focused on platform-agnostic manipulation and hands rather than building an entire humanoid robot. A wide range of initial customers, from supermarkets, industrial baking and gastronomy to manufacturing, recycling and pharmaceutical lab automation have already approached the startup. (Press release/RAN)"
